ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-20T19:23:20.000,0.27,341.78,0.26,-0.08
2023-08-20T19:38:20.000,0.49,342.41,0.47,-0.15
2023-08-20T19:53:20.000,0.51,28.45,0.45,0.24
2023-08-20T20:08:20.000,0.54,335.79,0.49,-0.22
2023-08-20T20:23:20.000,0.43,334.40,0.39,-0.19
2023-08-20T20:38:20.000,1.00,324.74,0.82,-0.58
2023-08-20T20:53:20.000,0.51,322.88,0.41,-0.31
2023-08-20T21:08:20.000,0.37,320.88,0.29,-0.23
2023-08-20T21:23:20.000,0.36,20.42,0.34,0.12
2023-08-20T21:38:20.000,0.45,329.56,0.39,-0.23
2023-08-20T21:53:20.000,0.47,17.07,0.45,0.14
2023-08-20T22:08:20.000,0.37,343.26,0.36,-0.11
2023-08-20T22:23:20.000,0.43,320.30,0.33,-0.28
2023-08-20T22:38:20.000,0.45,332.71,0.40,-0.20
2023-08-20T22:53:20.000,0.56,332.33,0.50,-0.26
2023-08-20T23:08:20.000,0.46,342.77,0.44,-0.14
2023-08-20T23:23:20.000,0.22,198.48,-0.21,-0.07
2023-08-20T23:38:20.000,0.16,302.08,0.09,-0.14
2023-08-20T23:53:20.000,0.66,358.63,0.66,-0.02
2023-08-21T00:08:20.000,0.67,30.69,0.57,0.34
2023-08-21T00:23:20.000,0.27,329.99,0.23,-0.14
2023-08-21T00:38:20.000,0.36,327.26,0.30,-0.19
2023-08-21T00:53:20.000,0.58,15.39,0.56,0.15
2023-08-21T01:08:20.000,0.58,325.69,0.48,-0.33
2023-08-21T01:23:20.000,0.37,336.21,0.34,-0.15
2023-08-21T01:38:20.000,0.38,352.39,0.37,-0.05
2023-08-21T01:53:20.000,0.74,324.74,0.61,-0.43
2023-08-21T02:08:20.000,0.24,303.12,0.13,-0.20
2023-08-21T02:23:20.000,0.22,25.66,0.19,0.09
2023-08-21T02:38:20.000,0.19,355.53,0.19,-0.02
2023-08-21T02:53:20.000,0.60,318.41,0.45,-0.40
2023-08-21T03:08:20.000,0.53,308.18,0.33,-0.42
2023-08-21T03:23:20.000,1.09,306.57,0.65,-0.88
2023-08-21T03:38:20.000,0.74,245.40,-0.31,-0.68
2023-08-21T03:53:20.000,0.73,197.23,-0.70,-0.22
2023-08-21T04:08:20.000,1.05,235.78,-0.59,-0.87
2023-08-21T04:23:20.000,0.31,268.32,-0.01,-0.31
2023-08-21T04:38:20.000,0.95,249.39,-0.34,-0.89
2023-08-21T04:53:20.000,0.37,246.98,-0.14,-0.34
2023-08-21T05:08:20.000,0.56,257.04,-0.13,-0.55
2023-08-21T05:23:20.000,0.60,302.43,0.32,-0.51
2023-08-21T05:38:20.000,0.51,338.50,0.47,-0.19
2023-08-21T05:53:20.000,0.39,6.92,0.39,0.05
2023-08-21T06:08:20.000,0.46,4.05,0.46,0.03
2023-08-21T06:23:20.000,0.57,331.23,0.50,-0.28
2023-08-21T06:38:20.000,0.16,20.97,0.15,0.06
2023-08-21T06:53:20.000,0.25,348.37,0.24,-0.05
2023-08-21T07:08:20.000,0.34,353.59,0.33,-0.04
2023-08-21T07:23:20.000,0.19,345.44,0.19,-0.05
2023-08-21T07:38:20.000,0.17,169.16,-0.17,0.03
2023-08-21T07:53:20.000,0.71,315.32,0.50,-0.50
2023-08-21T08:08:20.000,0.28,293.69,0.11,-0.26
2023-08-21T08:23:20.000,0.15,92.39,-0.01,0.15
2023-08-21T08:38:20.000,0.21,229.62,-0.13,-0.16
2023-08-21T08:53:20.000,0.37,347.88,0.37,-0.08
2023-08-21T09:08:20.000,0.08,334.92,0.08,-0.04
2023-08-21T09:23:20.000,0.36,333.09,0.32,-0.16
2023-08-21T09:38:20.000,0.30,303.35,0.17,-0.25
2023-08-21T09:53:20.000,0.25,239.26,-0.13,-0.22
2023-08-21T10:08:20.000,0.25,288.09,0.08,-0.23
2023-08-21T10:23:20.000,0.02,220.36,-0.01,-0.01
2023-08-21T10:38:20.000,0.64,136.79,-0.46,0.44
2023-08-21T10:53:20.000,0.73,56.77,0.40,0.61
2023-08-21T11:08:20.000,0.43,45.77,0.30,0.31
2023-08-21T11:23:20.000,0.33,46.20,0.23,0.24
2023-08-21T11:38:20.000,0.37,49.11,0.24,0.28
2023-08-21T11:53:20.000,0.35,9.61,0.35,0.06
2023-08-21T12:08:20.000,0.69,348.28,0.68,-0.14
2023-08-21T12:23:20.000,0.44,61.14,0.21,0.38
2023-08-21T12:38:20.000,0.26,31.10,0.22,0.13
